[2019-04-27 23:30] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 544.07, Accuracy = 0.09, Loss = 2.303
[2019-04-27 23:30] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 17179.32, Accuracy = 0.16, Loss = 2.176
[2019-04-27 23:30] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 17230.04, Accuracy = 0.26, Loss = 1.643
[2019-04-27 23:30] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 17288.86, Accuracy = 0.25, Loss = 1.572
[2019-04-27 23:30] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 6975.34, Accuracy = 0.37, Loss = 1.460
[2019-04-27 23:30] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 17171.63, Accuracy = 0.46, Loss = 1.332
[2019-04-27 23:30] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 14340.65, Accuracy = 0.55, Loss = 1.188
[2019-04-27 23:30] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 17079.85, Accuracy = 0.48, Loss = 1.198
[2019-04-27 23:30] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 11518.61, Accuracy = 0.59, Loss = 1.090
[2019-04-27 23:30] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 17287.74, Accuracy = 0.57, Loss = 1.076
[2019-04-27 23:30] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 17252.19, Accuracy = 0.73, Loss = 0.872
[2019-04-27 23:30] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 17195.28, Accuracy = 0.69, Loss = 0.897
[2019-04-27 23:30] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 17172.73, Accuracy = 0.77, Loss = 0.820
[2019-04-27 23:30] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 17119.61, Accuracy = 0.58, Loss = 0.902
[2019-04-27 23:30] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 17260.51, Accuracy = 0.70, Loss = 0.776
[2019-04-27 23:30] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 17101.07, Accuracy = 0.68, Loss = 0.788
[2019-04-27 23:30] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 17269.95, Accuracy = 0.77, Loss = 0.689
