Sentence length: 5
[2019-04-28 02:04] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 714.24, Accuracy = 0.12, Loss = 2.301
[2019-04-28 02:04] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 11448.85, Accuracy = 0.77, Loss = 0.868
[2019-04-28 02:04] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 14583.73, Accuracy = 0.67, Loss = 0.673
[2019-04-28 02:05] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 12095.50, Accuracy = 0.73, Loss = 0.559
[2019-04-28 02:05] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 13130.92, Accuracy = 0.73, Loss = 0.518
[2019-04-28 02:05] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 12148.32, Accuracy = 0.74, Loss = 0.514
[2019-04-28 02:05] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 10976.04, Accuracy = 0.72, Loss = 0.674
[2019-04-28 02:05] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 12443.12, Accuracy = 0.79, Loss = 0.500
[2019-04-28 02:05] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 11991.49, Accuracy = 0.87, Loss = 0.279
[2019-04-28 02:05] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 11653.37, Accuracy = 0.87, Loss = 0.275
[2019-04-28 02:05] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 12936.03, Accuracy = 1.00, Loss = 0.013
[2019-04-28 02:05] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 11975.97, Accuracy = 1.00, Loss = 0.008
[2019-04-28 02:05] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 13549.82, Accuracy = 1.00, Loss = 0.001
[2019-04-28 02:05] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 12705.50, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 12971.34, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 12377.43, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 12578.10, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 12068.58, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 1800/10000, Batch Size = 128, Examples/Sec = 12098.50, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 1900/10000, Batch Size = 128, Examples/Sec = 12754.10, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2000/10000, Batch Size = 128, Examples/Sec = 12078.36, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2100/10000, Batch Size = 128, Examples/Sec = 13412.38, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2200/10000, Batch Size = 128, Examples/Sec = 13147.97, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2300/10000, Batch Size = 128, Examples/Sec = 12466.81, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2400/10000, Batch Size = 128, Examples/Sec = 12796.96, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2500/10000, Batch Size = 128, Examples/Sec = 12548.40, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2600/10000, Batch Size = 128, Examples/Sec = 13209.43, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2700/10000, Batch Size = 128, Examples/Sec = 12914.24, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2800/10000, Batch Size = 128, Examples/Sec = 11568.00, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 2900/10000, Batch Size = 128, Examples/Sec = 12561.03, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 3000/10000, Batch Size = 128, Examples/Sec = 12692.88, Accuracy = 0.84, Loss = 0.447
[2019-04-28 02:05] Train Step 3100/10000, Batch Size = 128, Examples/Sec = 12173.12, Accuracy = 0.92, Loss = 0.206
[2019-04-28 02:05] Train Step 3200/10000, Batch Size = 128, Examples/Sec = 12251.73, Accuracy = 0.95, Loss = 0.086
[2019-04-28 02:05] Train Step 3300/10000, Batch Size = 128, Examples/Sec = 12832.14, Accuracy = 1.00, Loss = 0.001
[2019-04-28 02:05] Train Step 3400/10000, Batch Size = 128, Examples/Sec = 12705.50, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 3500/10000, Batch Size = 128, Examples/Sec = 12971.66, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 3600/10000, Batch Size = 128, Examples/Sec = 11826.39, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 3700/10000, Batch Size = 128, Examples/Sec = 12035.31, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 3800/10000, Batch Size = 128, Examples/Sec = 12200.50, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 3900/10000, Batch Size = 128, Examples/Sec = 12488.27, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 4000/10000, Batch Size = 128, Examples/Sec = 12073.74, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 4100/10000, Batch Size = 128, Examples/Sec = 12089.78, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:05] Train Step 4200/10000, Batch Size = 128, Examples/Sec = 12386.85, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 4300/10000, Batch Size = 128, Examples/Sec = 12178.64, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 4400/10000, Batch Size = 128, Examples/Sec = 12307.06, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 4500/10000, Batch Size = 128, Examples/Sec = 12119.80, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 4600/10000, Batch Size = 128, Examples/Sec = 12390.57, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 4700/10000, Batch Size = 128, Examples/Sec = 12562.20, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 4800/10000, Batch Size = 128, Examples/Sec = 12258.73, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 4900/10000, Batch Size = 128, Examples/Sec = 11231.37, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 5000/10000, Batch Size = 128, Examples/Sec = 12464.79, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 5100/10000, Batch Size = 128, Examples/Sec = 12501.65, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 5200/10000, Batch Size = 128, Examples/Sec = 12671.61, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 5300/10000, Batch Size = 128, Examples/Sec = 11895.83, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 5400/10000, Batch Size = 128, Examples/Sec = 12536.68, Accuracy = 1.00, Loss = 0.000
[2019-04-28 02:06] Train Step 5500/10000, Batch Size = 128, Examples/Sec = 12511.85, Accuracy = 0.38, Loss = 6.680
[2019-04-28 02:06] Train Step 5600/10000, Batch Size = 128, Examples/Sec = 12868.12, Accuracy = 1.00, Loss = 0.005
[2019-04-28 02:06] Train Step 5700/10000, Batch Size = 128, Examples/Sec = 12256.77, Accuracy = 1.00, Loss = 0.000
