Initialize dataset with 893649 characters, 84 unique.
[2019-05-02 11:25] Train Step 1000/1000000, Batch Size = 64, Examples/Sec = 249.59, Accuracy = 0.00, Loss = 4.455
[2019-05-02 11:30] Train Step 2000/1000000, Batch Size = 64, Examples/Sec = 248.32, Accuracy = 0.00, Loss = 4.455
[2019-05-02 11:34] Train Step 3000/1000000, Batch Size = 64, Examples/Sec = 248.65, Accuracy = 0.00, Loss = 4.454
[2019-05-02 11:38] Train Step 4000/1000000, Batch Size = 64, Examples/Sec = 251.14, Accuracy = 0.00, Loss = 4.452
[2019-05-02 11:42] Train Step 5000/1000000, Batch Size = 64, Examples/Sec = 248.98, Accuracy = 0.00, Loss = 4.455
[2019-05-02 11:47] Train Step 6000/1000000, Batch Size = 64, Examples/Sec = 248.45, Accuracy = 0.00, Loss = 4.452
[2019-05-02 11:51] Train Step 7000/1000000, Batch Size = 64, Examples/Sec = 249.45, Accuracy = 0.00, Loss = 4.453
[2019-05-02 11:55] Train Step 8000/1000000, Batch Size = 64, Examples/Sec = 249.37, Accuracy = 0.00, Loss = 4.455
[2019-05-02 12:00] Train Step 9000/1000000, Batch Size = 64, Examples/Sec = 250.17, Accuracy = 0.00, Loss = 4.452
[2019-05-02 12:04] Train Step 10000/1000000, Batch Size = 64, Examples/Sec = 251.47, Accuracy = 0.00, Loss = 4.452
[2019-05-02 12:08] Train Step 11000/1000000, Batch Size = 64, Examples/Sec = 243.92, Accuracy = 0.00, Loss = 4.453
[2019-05-02 12:13] Train Step 12000/1000000, Batch Size = 64, Examples/Sec = 249.57, Accuracy = 0.00, Loss = 4.451
[2019-05-02 12:17] Train Step 13000/1000000, Batch Size = 64, Examples/Sec = 250.48, Accuracy = 0.00, Loss = 4.451
[2019-05-02 12:25] Train Step 1000/1000000, Batch Size = 64, Examples/Sec = 249.61, Accuracy = 0.00, Loss = 4.452
[2019-05-02 12:30] Train Step 2000/1000000, Batch Size = 64, Examples/Sec = 250.66, Accuracy = 0.00, Loss = 4.453
[2019-05-02 12:34] Train Step 3000/1000000, Batch Size = 64, Examples/Sec = 249.39, Accuracy = 0.00, Loss = 4.452
[2019-05-02 12:38] Train Step 4000/1000000, Batch Size = 64, Examples/Sec = 249.13, Accuracy = 0.00, Loss = 4.456
[2019-05-02 12:43] Train Step 5000/1000000, Batch Size = 64, Examples/Sec = 250.20, Accuracy = 0.00, Loss = 4.450
[2019-05-02 12:47] Train Step 6000/1000000, Batch Size = 64, Examples/Sec = 245.38, Accuracy = 0.00, Loss = 4.454
[2019-05-02 12:51] Train Step 7000/1000000, Batch Size = 64, Examples/Sec = 243.65, Accuracy = 0.00, Loss = 4.453
